,,,,,,service_mode,band_profile,line_type,rate_mode_up,rate_mode_dn,,,rate_dn_max,rate_up_max,rate_dn_min,rate_up_min,snr_dn_min,snr_up_min,snr_dn_target,snr_up_target,snr_dn_max,snr_up_max,,,,,,,,,latency_dn,latency_up,inp_dn,inp_up,pbo_dn,pbo_up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35136k/20128k,1200,35136x20128_bond12a,35136,20128,VDSL2,8a,Interleaved,Startup,Startup,35136,20128,17568,10064,4392,2516,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,17568,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40128k/20128k,1200,40128x20128_bond12a,40128,20128,VDSL2,8a,Interleaved,Startup,Startup,40128,20128,20064,10064,5016,2516,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,20064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,55136k/20128k,1200,55136x20128_bond12a,55136,20128,VDSL2,12a,Interleaved,Startup,Startup,55136,20128,27568,10064,6892,2516,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,27568,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,60128k/30144k,1200,60128x30144_bond12a,60128,30144,VDSL2,12a,Interleaved,Startup,Startup,60128,30144,30064,15072,7516,3768,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,30064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,75136k/35136k,1200,75136x35136_bond12a,75136,35136,VDSL2,12a,Interleaved,Startup,Startup,75136,35136,37568,17568,9392,4392,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,37568,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80128k/40128k,1200,80128x40128_bond12a,80128,40128,VDSL2,12a,Interleaved,Startup,Startup,80128,40128,40064,20064,10016,5016,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,40064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,100128k/12128k,500,100128x12128_bond8a,100128,12128,VDSL2,8a,Interleaved,Startup,Startup,100128,12128,50064,6064,12516,1516,0,0,6,6,31,31,NA,NA,NA,NA,NA,NA,NA,NA,16,16,1,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,50064,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Single,25M/2M,2550,25Mx2M_8a,25000,2000,VDSL2,8a,Interleaved,Startup,Startup,,,27008,2176,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,27008,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,40M/5M,1800,40Mx5M_8a,40000,5000,VDSL2,8a,Interleaved,Startup,Startup,,,43008,5376,32,32,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43008,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQ Bonded,25M/2M,4100,25Mx2M_bond8a,25000,2000,VDSL2,8a,Interleaved,Startup,Startup,27264,2240,13632,1120,3408,280,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,13632,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL DSLAMS,40M/5M,2550,40Mx5M_bond8a,40000,5000,VDSL2,8a,Interleaved,Startup,Startup,43648,5504,21824,2752,5456,688,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,21824,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPTV,60M/30M,1000,60Mx30M_bond12a,60000,30000,VDSL2,8a,Interleaved,Startup,Startup,65472,32736,32736,16368,8184,4092,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,32736,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,80M/40M,750,80Mx40M_bond12a,80000,40000,VDSL2,8a,Interleaved,Startup,Startup,87296,43648,43648,21824,10912,5456,1,1,9,9,31,31,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,43648,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Single Line,896k/288k,2900,896x288_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,896,288,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,896,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL2,896k/448k,2900,896x448_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,896,448,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,896,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,1760k/288k,2900,1760x288_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,1760,288,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1760,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,1760k/576k,2900,1760x576_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,1760,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1760,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3520k/576k,2900,3520x576_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,3520,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3520,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5888k/896k,2900,5888x896_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,5888,896,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5888,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,11776k/1024k,2900,11776x1024_LCTL,,,VDSL2MM,8a,Fast,Startup,Startup,,,11776,1024,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,11776,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,15008k/1504k,2900,15008x1504_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,15008,1504,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,15008,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,20000k/2016k,2900,20000x2016_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,20000,2016,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,20000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,25024k/2016k,2900,25024x2016_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,25024,2016,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,25024,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,30016k/2016k,2200,30016x2016_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,30016,2016,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,30016,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,40000k/5024k,1500,40000x5024_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,40000,5024,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,40000,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,50016k/5024k,700,50016x5024_LCTL,,,VDSL2,8a,Fast,Startup,Startup,,,50016,5024,32,32,1,1,9,6,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,50016,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Single Line,25x2,2550,20Mx2M_LCIPTV,,,VDSL2,8a,Interleaved,Startup,Startup,,,25024,2016,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,25024,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
VDSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Bonded,15M/1.5M,8100,17664x1792_LCB,,,ADSL2+,-,Interleaved,Startup,Startup,17664,1792,8832,896,2208,224,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,8832,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+,20M/2M,6600,23552x2304_LCB,,,ADSL2+,-,Interleaved,Startup,Startup,23552,2304,11776,1152,2944,288,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,11776,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,25M/2M,5100,29440x2304_LCB,,,ADSL2+,-,Interleaved,Startup,Startup,29440,2304,14720,1152,3680,288,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,14720,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Single Line,9440k/896k,8100,9440x896_LC,,,ADSL2+MM,-,Fast,Startup,Startup,,,9440,896,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,-,-,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,9440,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+,11776k/896k,6600,11776x896_LC,,,ADSL2+MM,-,Fast,Startup,Startup,,,11776,896,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,-,-,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,11776,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,11776k/1024k,6600,11776x1024_LC,,,ADSL2+MM,-,Fast,Startup,Startup,,,11776,1024,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,-,-,0.5,0.5,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,11776,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Single Line,512k/256k,17600,576x288_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,576,288,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,576,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL,768k/256k,13200,896x288_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,896,288,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,896,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
High Speed,768k/384k,13900,896x448_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,896,448,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,896,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,1.5M/256k,13200,1760x288_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,1760,288,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1760,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,1.5m/512k,18000,1760x576_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,1760,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,1760,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3m/512k,11000,3520x576_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,3520,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3520,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,3m/640k,11000,3520x736_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,3520,736,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,3520,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,4m/512k,10200,4704x576_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,4704,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,4704,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,5m/768k,9500,5888x896_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,5888,896,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,5888,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,6m/512k,9500,7072x576_LC,,,ADSLMM,-,Interleaved,Startup,Startup,,,7072,576,32,32,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,8,-,-,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,7072,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC Bonded Line,20x2,5900,10Mx1M_LCBIPTV,,,ADSL2+,-,Interleaved,Startup,Startup,18880,1536,9440,768,2360,192,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,9440,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
ADSL2+,22x1,5150,20Mx1.5M_LCBIPTV,,,ADSL2+,-,Interleaved,Startup,Startup,23552,1792,11776,896,2944,224,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,11776,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
IPTV,30x2,4350,30Mx1.5M_LCBIPTV,,,ADSL2+,-,Interleaved,Startup,Startup,31808,1792,15904,896,3976,224,1,1,9,9,16,16,NA,NA,NA,NA,NA,NA,NA,NA,8,5,2,1,Disabled,Disabled,Disabled,Disabled,Max INP,Max INP,40.00,0.00,40.00,0.00,40.00,0.00,40.00,0.00,No Force,15904,50000,0,0,10,10,2,1,2,1,120 Hz,120 Hz,0,0
